JDBC Connection [HikariProxyConnection@1345069688 wrapping org.postgresql.jdbc.PgConnection@21f7e537] will be managed by Spring
==>  Preparing: INSERT INTO staff ( name, age, gender, number, supply_center, mobile_number, type ) VALUES ( ?, ?, ?, ?, ?, ?, ? ) 
==> Parameters: Kong Yibo(String), 47(Long), Female(String), 11311024(String), America(String), 15038403217(String), Director(String)
==> Parameters: Chen Jiabin(String), 46(Long), Male(String), 11410308(String), America(String), 15052390956(String), Salesman(String)
==> Parameters: Zhou Qimei(String), 46(Long), Female(String), 11411124(String), America(String), 18932304528(String), Salesman(String)
==> Parameters: Dottie Walker(String), 43(Long), Female(String), 11710029(String), America(String), 18957621651(String), Salesman(String)
==> Parameters: Miriam Evans(String), 47(Long), Female(String), 11311817(String), America(String), 15609201594(String), Salesman(String)
==> Parameters: Alistair Smith(String), 40(Long), Male(String), 12011919(String), America(String), 18957760110(String), Salesman(String)
==> Parameters: Zhang Runyi(String), 41(Long), Male(String), 11910127(String), America(String), 18601703786(String), Salesman(String)
==> Parameters: Richard Edwards(String), 43(Long), Male(String), 11710209(String), America(String), 13815125118(String), Salesman(String)
==> Parameters: Corinna Smith(String), 38(Long), Female(String), 12210120(String), America(String), 18958346054(String), Salesman(String)
==> Parameters: Ronnie Jackson(String), 39(Long), Male(String), 12110528(String), America(String), 13870626048(String), Salesman(String)
==> Parameters: Patience Robinson(String), 45(Long), Female(String), 11510409(String), America(String), 18693605151(String), Salesman(String)
==> Parameters: You Ruoke(String), 44(Long), Male(String), 11612314(String), America(String), 13940007283(String), Salesman(String)
==> Parameters: Wei Ruichen(String), 47(Long), Male(String), 11310514(String), America(String), 13959351161(String), Salesman(String)
==> Parameters: Wang Qimei(String), 49(Long), Female(String), 11111727(String), America(String), 13860021464(String), Salesman(String)
==> Parameters: Rosalie Evans(String), 48(Long), Female(String), 11212621(String), America(String), 13889409221(String), Salesman(String)
==> Parameters: Dou Yansen(String), 48(Long), Male(String), 11210925(String), America(String), 18909134675(String), Salesman(String)
==> Parameters: Zheng Zibin(String), 42(Long), Male(String), 11810907(String), America(String), 13818250928(String), Salesman(String)
==> Parameters: Vicky Hall(String), 48(Long), Female(String), 11210010(String), America(String), 13957748858(String), Salesman(String)
==> Parameters: Han Changfei(String), 47(Long), Male(String), 11310719(String), America(String), 13986084233(String), Salesman(String)
==> Parameters: Bernadette Wright(String), 42(Long), Female(String), 11811911(String), America(String), 13829691837(String), Salesman(String)
==> Parameters: Wu Fanrui(String), 41(Long), Male(String), 11910524(String), America(String), 13910481219(String), Salesman(String)
==> Parameters: Shui Rusi(String), 46(Long), Female(String), 11410708(String), America(String), 13979147586(String), Salesman(String)
==> Parameters: Xu Jiashu(String), 40(Long), Male(String), 12010216(String), America(String), 15683516519(String), Salesman(String)
==> Parameters: Qian Yuyang(String), 38(Long), Female(String), 12211322(String), America(String), 18917509086(String), Salesman(String)
==> Parameters: Zhang Yilv(String), 39(Long), Female(String), 12111907(String), America(String), 18631655364(String), Salesman(String)
==> Parameters: Miranda Roberts(String), 38(Long), Female(String), 12212915(String), America(String), 18939713565(String), Salesman(String)
==> Parameters: Yang Zhengkai(String), 38(Long), Male(String), 12210019(String), America(String), 18974863624(String), Salesman(String)
==> Parameters: Florrie Williams(String), 38(Long), Female(String), 12212007(String), America(String), 15091345681(String), Salesman(String)
==> Parameters: Ted Taylor(String), 43(Long), Male(String), 11710818(String), America(String), 15622407318(String), Salesman(String)
==> Parameters: Stan Thompson(String), 39(Long), Male(String), 12111112(String), America(String), 18987756675(String), Salesman(String)
==> Parameters: Li Jingwen(String), 38(Long), Male(String), 12211405(String), America(String), 13968175165(String), Salesman(String)
==> Parameters: Deirdre Evans(String), 48(Long), Female(String), 11211217(String), America(String), 15033852161(String), Salesman(String)
==> Parameters: Cherry Lewis(String), 41(Long), Female(String), 11912303(String), America(String), 13988771717(String), Salesman(String)
==> Parameters: Tao Hanfeng(String), 44(Long), Female(String), 11612811(String), America(String), 15609768742(String), Salesman(String)
==> Parameters: Sun Wenyan(String), 46(Long), Female(String), 11412417(String), America(String), 18663855859(String), Salesman(String)
==> Parameters: Allson Edwards(String), 38(Long), Female(String), 12210508(String), America(String), 15680720535(String), Salesman(String)
==> Parameters: Liu Jinquan(String), 46(Long), Male(String), 11410326(String), America(String), 18687089220(String), Salesman(String)
==> Parameters: Robby Jackson(String), 38(Long), Male(String), 12210524(String), America(String), 15606709103(String), Salesman(String)
==> Parameters: Lucy Hall(String), 39(Long), Female(String), 12112210(String), America(String), 13884091597(String), Salesman(String)
==> Parameters: Cao Chuling(String), 44(Long), Female(String), 11611606(String), America(String), 13910040719(String), Salesman(String)
==> Parameters: Benjamin Green(String), 39(Long), Male(String), 12112001(String), America(String), 15691335568(String), Salesman(String)
==> Parameters: Zhang Miaorui(String), 44(Long), Male(String), 11610903(String), America(String), 18672794124(String), Salesman(String)
==> Parameters: Han Siyu(String), 38(Long), Male(String), 12211817(String), America(String), 15697295343(String), Salesman(String)
==> Parameters: Otto Thomas(String), 41(Long), Male(String), 11912919(String), America(String), 15074427557(String), Salesman(String)
==> Parameters: Zhou Lewen(String), 39(Long), Male(String), 12110502(String), America(String), 13987398085(String), Salesman(String)
==> Parameters: Chen Hanfeng(String), 43(Long), Female(String), 11711517(String), America(String), 13852281965(String), Salesman(String)
==> Parameters: Florence Lewis(String), 42(Long), Female(String), 11812209(String), America(String), 18638300869(String), Salesman(String)
==> Parameters: Chu Yiqing(String), 41(Long), Female(String), 11911902(String), America(String), 13880989505(String), Salesman(String)
==> Parameters: Wu Fanrui(String), 46(Long), Male(String), 11410806(String), America(String), 13952606129(String), Salesman(String)
==> Parameters: Marilyn Harris(String), 49(Long), Female(String), 11112918(String), America(String), 15648043188(String), Salesman(String)
==> Parameters: Ray Green(String), 40(Long), Male(String), 12011019(String), America(String), 18952408498(String), Salesman(String)
==> Parameters: Kong Chengjun(String), 44(Long), Male(String), 11611223(String), America(String), 13963900648(String), Salesman(String)
==> Parameters: Ivan Harris(String), 39(Long), Male(String), 12110325(String), America(String), 13991194384(String), Salesman(String)
==> Parameters: Scott Hall(String), 46(Long), Male(String), 11411005(String), America(String), 13902218906(String), Salesman(String)
==> Parameters: Lv Shunhang(String), 48(Long), Male(String), 11212217(String), America(String), 18986869520(String), Salesman(String)
==> Parameters: Zou Jingye(String), 41(Long), Male(String), 11910106(String), America(String), 18631626712(String), Salesman(String)
==> Parameters: Zhou Canqi(String), 41(Long), Male(String), 11912729(String), America(String), 15012145938(String), Salesman(String)
==> Parameters: Florence Walker(String), 47(Long), Female(String), 11312922(String), America(String), 18654131115(String), Salesman(String)
==> Parameters: Nicole Taylor(String), 48(Long), Female(String), 11211510(String), America(String), 15605395407(String), Salesman(String)
==> Parameters: Lenny Jackson(String), 49(Long), Male(String), 11111605(String), America(String), 13941316848(String), Salesman(String)
==> Parameters: David Jackson(String), 41(Long), Male(String), 11911227(String), America(String), 15663811232(String), Salesman(String)
==> Parameters: Zhu Fanyan(String), 43(Long), Female(String), 11712216(String), America(String), 18943927144(String), Salesman(String)
==> Parameters: Tao Ercui(String), 39(Long), Female(String), 12111202(String), America(String), 13855084716(String), Salesman(String)
==> Parameters: Zhou Hanan(String), 45(Long), Female(String), 11511318(String), America(String), 13876958194(String), Salesman(String)
==> Parameters: Kong Ningbai(String), 38(Long), Female(String), 12211404(String), America(String), 15036461258(String), Salesman(String)
==> Parameters: Qing Pingning(String), 38(Long), Female(String), 12212516(String), America(String), 15036759293(String), Salesman(String)
==> Parameters: Yan Yuanxiang(String), 44(Long), Male(String), 11610809(String), America(String), 15057827326(String), Salesman(String)
==> Parameters: Lv Jingwei(String), 45(Long), Male(String), 11510407(String), America(String), 18930958702(String), Salesman(String)
==> Parameters: Shi Congde(String), 47(Long), Male(String), 11311011(String), America(String), 18907982518(String), Salesman(String)
==> Parameters: Zheng Lvping(String), 43(Long), Female(String), 11712901(String), America(String), 15668995243(String), Salesman(String)
==> Parameters: He Ruixun(String), 48(Long), Male(String), 11212015(String), America(String), 13864072467(String), Salesman(String)
==> Parameters: Florence Johnson(String), 45(Long), Female(String), 11511403(String), America(String), 13953574065(String), Salesman(String)
==> Parameters: Jiang Fanrui(String), 46(Long), Male(String), 11412215(String), America(String), 13930330234(String), Salesman(String)
==> Parameters: Wu Xiangchen(String), 45(Long), Male(String), 11510914(String), America(String), 18662243923(String), Salesman(String)
==> Parameters: Qi Gulian(String), 43(Long), Female(String), 11712400(String), America(String), 13855733112(String), Salesman(String)
==> Parameters: Jiang Zhenming(String), 39(Long), Male(String), 12112622(String), America(String), 13911532865(String), Salesman(String)
==> Parameters: Xu Honglin(String), 49(Long), Male(String), 11111703(String), America(String), 13902792173(String), Salesman(String)
==> Parameters: Jiang Weian(String), 49(Long), Male(String), 11110209(String), America(String), 13898155043(String), Salesman(String)
==> Parameters: Zhao Rongchun(String), 46(Long), Male(String), 11410306(String), America(String), 15074922863(String), Salesman(String)
==> Parameters: Xu Yishan(String), 44(Long), Male(String), 11612829(String), America(String), 15045884000(String), Salesman(String)
==> Parameters: Uerica Hall(String), 40(Long), Female(String), 12011701(String), America(String), 15606761479(String), Salesman(String)
==> Parameters: Archibald Thompson(String), 48(Long), Male(String), 11210008(String), America(String), 15003945587(String), Contracts Manager(String)
==> Parameters: Li Lewen(String), 44(Long), Male(String), 11611225(String), America(String), 13800724495(String), Contracts Manager(String)
==> Parameters: Chu Runyi(String), 46(Long), Male(String), 11410122(String), America(String), 18665857267(String), Contracts Manager(String)
==> Parameters: Zhou Manrui(String), 44(Long), Male(String), 11610317(String), America(String), 13934970262(String), Contracts Manager(String)
==> Parameters: Feng Hendong(String), 43(Long), Female(String), 11712421(String), America(String), 13993818952(String), Contracts Manager(String)
==> Parameters: You Boran(String), 43(Long), Male(String), 11711218(String), America(String), 13963049796(String), Contracts Manager(String)
==> Parameters: Yan Rongchun(String), 47(Long), Male(String), 11310908(String), America(String), 13844681925(String), Contracts Manager(String)
==> Parameters: Zhu Zicheng(String), 46(Long), Male(String), 11412313(String), America(String), 13832687921(String), Contracts Manager(String)
==> Parameters: Feng Lewen(String), 44(Long), Male(String), 11611122(String), America(String), 15001256579(String), Contracts Manager(String)
==> Parameters: Xu Nuobo(String), 46(Long), Male(String), 11410007(String), America(String), 18691284519(String), Contracts Manager(String)
==> Parameters: Gracie Davies(String), 40(Long), Female(String), 12010605(String), America(String), 13890402716(String), Contracts Manager(String)
==> Parameters: Han Leqiao(String), 38(Long), Female(String), 12212110(String), America(String), 15041556592(String), Contracts Manager(String)
==> Parameters: Faustina Hall(String), 46(Long), Female(String), 11412900(String), America(String), 15660705495(String), Contracts Manager(String)
==> Parameters: Allson White(String), 43(Long), Female(String), 11710218(String), America(String), 15623346768(String), Contracts Manager(String)
==> Parameters: Zhu Rufeng(String), 47(Long), Female(String), 11311510(String), America(String), 15010716872(String), Contracts Manager(String)
==> Parameters: Zou Xiaorou(String), 43(Long), Female(String), 11711209(String), America(String), 18627930507(String), Contracts Manager(String)
==> Parameters: Shen Mengchao(String), 43(Long), Male(String), 11712520(String), America(String), 13848720803(String), Contracts Manager(String)
==> Parameters: Bai Ningzhen(String), 45(Long), Female(String), 11512213(String), America(String), 13817326705(String), Contracts Manager(String)
==> Parameters: Jing Ziyan(String), 42(Long), Male(String), 11812908(String), America(String), 15688018946(String), Contracts Manager(String)
==> Parameters: Lv Ruoke(String), 39(Long), Male(String), 12111718(String), America(String), 13949123975(String), Contracts Manager(String)
==> Parameters: You Xiangxing(String), 42(Long), Male(String), 11812905(String), Eastern China(String), 13924787705(String), Director(String)
==> Parameters: Xie Jiashuai(String), 47(Long), Male(String), 11310409(String), Eastern China(String), 13831725621(String), Supply Staff(String)
==> Parameters: Samuel Johnson(String), 48(Long), Male(String), 11210622(String), Eastern China(String), 15636249914(String), Supply Staff(String)
==> Parameters: Xu Yixian(String), 44(Long), Male(String), 11612909(String), Eastern China(String), 13935911937(String), Supply Staff(String)
==> Parameters: Bernie Smith(String), 44(Long), Male(String), 11612024(String), Eastern China(String), 13970817292(String), Supply Staff(String)
==> Parameters: Yang Jingwen(String), 41(Long), Male(String), 11912109(String), Eastern China(String), 18946575272(String), Supply Staff(String)
==> Parameters: Di Hall(String), 44(Long), Female(String), 11611609(String), Eastern China(String), 13863451067(String), Supply Staff(String)
==> Parameters: Agnes Roberts(String), 45(Long), Female(String), 11510305(String), Eastern China(String), 18601984515(String), Supply Staff(String)
==> Parameters: Bai Jingping(String), 43(Long), Female(String), 11711304(String), Eastern China(String), 18603683635(String), Supply Staff(String)
==> Parameters: Caesar Roberts(String), 48(Long), Male(String), 11210026(String), Eastern China(String), 15051773106(String), Supply Staff(String)
==> Parameters: Karen Taylor(String), 38(Long), Female(String), 12210703(String), Eastern China(String), 13876720290(String), Supply Staff(String)
==> Parameters: Frankie Wright(String), 40(Long), Male(String), 12010225(String), Eastern China(String), 13944468545(String), Supply Staff(String)
==> Parameters: He Qizhen(String), 42(Long), Female(String), 11811901(String), Eastern China(String), 13961013521(String), Supply Staff(String)
==> Parameters: Wei Maoan(String), 41(Long), Male(String), 11912623(String), Eastern China(String), 18907614854(String), Supply Staff(String)
==> Parameters: Dustin Clarke(String), 44(Long), Male(String), 11610927(String), Eastern China(String), 13833246195(String), Supply Staff(String)
==> Parameters: Jing Muhua(String), 38(Long), Male(String), 12211621(String), Eastern China(String), 15023695830(String), Supply Staff(String)
==> Parameters: Undine Taylor(String), 45(Long), Female(String), 11512115(String), Eastern China(String), 18959715598(String), Supply Staff(String)
==> Parameters: Sun Nianlan(String), 44(Long), Female(String), 11612806(String), Eastern China(String), 15652032545(String), Supply Staff(String)
==> Parameters: Jackie Thomas(String), 48(Long), Female(String), 11211620(String), Eastern China(String), 15039530124(String), Supply Staff(String)
==> Parameters: Fidelia Wilson(String), 40(Long), Female(String), 12012421(String), Eastern China(String), 13909407406(String), Supply Staff(String)
==> Parameters: Phoebe Smith(String), 41(Long), Female(String), 11911120(String), Eastern China(String), 18912328850(String), Supply Staff(String)
==> Parameters: You Xiangxing(String), 45(Long), Male(String), 11511710(String), Eastern China(String), 13848331704(String), Supply Staff(String)
==> Parameters: Li Rufeng(String), 45(Long), Female(String), 11512206(String), Eastern China(String), 13916883945(String), Supply Staff(String)
==> Parameters: Theo White(String), 45(Long), Male(String), 11510326(String), Eastern China(String), 13986643179(String), Supply Staff(String)
==> Parameters: Theodoric Hughes(String), 48(Long), Male(String), 11211016(String), Eastern China(String), 13863625889(String), Supply Staff(String)
==> Parameters: Dermot Lewis(String), 49(Long), Male(String), 11112504(String), Eastern China(String), 15602715703(String), Salesman(String)
==> Parameters: Martina Patel(String), 44(Long), Female(String), 11611508(String), Eastern China(String), 15636960302(String), Salesman(String)
==> Parameters: Shui Zuirou(String), 38(Long), Female(String), 12210519(String), Eastern China(String), 18687389223(String), Salesman(String)
==> Parameters: Zhu Wenlu(String), 38(Long), Male(String), 12211417(String), Eastern China(String), 18687277158(String), Salesman(String)
==> Parameters: Yu Shanwei(String), 44(Long), Female(String), 11612514(String), Eastern China(String), 13909788477(String), Salesman(String)
==> Parameters: Marshall Roberts(String), 45(Long), Male(String), 11511825(String), Eastern China(String), 15078634397(String), Salesman(String)
==> Parameters: Wei Shiyi(String), 47(Long), Male(String), 11311313(String), Eastern China(String), 13886365952(String), Salesman(String)
==> Parameters: Lucinda Harris(String), 47(Long), Female(String), 11310020(String), Eastern China(String), 13834613733(String), Salesman(String)
==> Parameters: Dou Youqing(String), 44(Long), Female(String), 11612519(String), Eastern China(String), 18695976535(String), Salesman(String)
==> Parameters: Feng Ziyu(String), 39(Long), Male(String), 12110824(String), Eastern China(String), 18660093847(String), Salesman(String)
==> Parameters: Dottie Thomas(String), 39(Long), Female(String), 12110129(String), Eastern China(String), 15085452010(String), Salesman(String)
==> Parameters: Bernadette Wilson(String), 41(Long), Female(String), 11911729(String), Eastern China(String), 18961189437(String), Salesman(String)
==> Parameters: Wu Mimei(String), 46(Long), Female(String), 11411829(String), Eastern China(String), 13942881431(String), Salesman(String)
==> Parameters: Marcia Hall(String), 39(Long), Female(String), 12112122(String), Eastern China(String), 15069566546(String), Salesman(String)
==> Parameters: Enos White(String), 45(Long), Male(String), 11511922(String), Eastern China(String), 18638799648(String), Salesman(String)
==> Parameters: Zou Youling(String), 40(Long), Female(String), 12011525(String), Eastern China(String), 18988482692(String), Salesman(String)
==> Parameters: Liu Shiyi(String), 49(Long), Male(String), 11112324(String), Eastern China(String), 18698191833(String), Salesman(String)
==> Parameters: Hal Taylor(String), 41(Long), Male(String), 11912318(String), Eastern China(String), 18999505149(String), Salesman(String)
==> Parameters: Jiang Boran(String), 43(Long), Male(String), 11712501(String), Eastern China(String), 13941181346(String), Salesman(String)
==> Parameters: Sun Haoyan(String), 41(Long), Male(String), 11912616(String), Eastern China(String), 18610065255(String), Salesman(String)
==> Parameters: Shi Tianlan(String), 38(Long), Female(String), 12211415(String), Eastern China(String), 15064950347(String), Salesman(String)
==> Parameters: Qing Chumei(String), 47(Long), Female(String), 11310711(String), Eastern China(String), 13830026419(String), Salesman(String)
==> Parameters: Victor Lewis(String), 46(Long), Male(String), 11410502(String), Eastern China(String), 18937004621(String), Salesman(String)
==> Parameters: Wang Nuobo(String), 49(Long), Male(String), 11112126(String), Eastern China(String), 18986871484(String), Salesman(String)
==> Parameters: Qing Jingping(String), 42(Long), Female(String), 11810008(String), Eastern China(String), 13829205071(String), Salesman(String)
==> Parameters: Wang Qiuyan(String), 45(Long), Female(String), 11512823(String), Eastern China(String), 15035025121(String), Salesman(String)
==> Parameters: Eva Harris(String), 49(Long), Female(String), 11112415(String), Eastern China(String), 18964807274(String), Salesman(String)
==> Parameters: Dora Thompson(String), 40(Long), Female(String), 12012028(String), Eastern China(String), 15693789626(String), Salesman(String)
==> Parameters: Zou Zhidie(String), 44(Long), Female(String), 11611117(String), Eastern China(String), 15008520109(String), Salesman(String)
==> Parameters: Yang Bisong(String), 48(Long), Female(String), 11212212(String), Eastern China(String), 15660871829(String), Salesman(String)
==> Parameters: Craig Jackson(String), 47(Long), Male(String), 11312723(String), Eastern China(String), 15643684197(String), Salesman(String)
==> Parameters: Tao Shuxuan(String), 49(Long), Female(String), 11111424(String), Eastern China(String), 15085116120(String), Salesman(String)
==> Parameters: Mary Edwards(String), 44(Long), Female(String), 11610902(String), Eastern China(String), 18654024091(String), Salesman(String)
==> Parameters: Zhou Shishan(String), 45(Long), Female(String), 11511413(String), Eastern China(String), 13805315084(String), Salesman(String)
==> Parameters: Vincent Roberts(String), 45(Long), Male(String), 11511423(String), Eastern China(String), 18656005147(String), Salesman(String)
==> Parameters: Miranda Williams(String), 38(Long), Female(String), 12210427(String), Eastern China(String), 18614818998(String), Salesman(String)
==> Parameters: Zou Youyi(String), 39(Long), Female(String), 12111519(String), Eastern China(String), 18603455227(String), Salesman(String)
==> Parameters: Liu Mengbai(String), 38(Long), Female(String), 12212112(String), Eastern China(String), 18644263375(String), Salesman(String)
==> Parameters: Feng Erhan(String), 47(Long), Female(String), 11311524(String), Eastern China(String), 15611561542(String), Salesman(String)
==> Parameters: Han Hengran(String), 46(Long), Male(String), 11411320(String), Eastern China(String), 15017659962(String), Salesman(String)
==> Parameters: Urania Walker(String), 46(Long), Female(String), 11411612(String), Eastern China(String), 15068229490(String), Salesman(String)
==> Parameters: Jiang Yingzhi(String), 42(Long), Female(String), 11811718(String), Eastern China(String), 13872012534(String), Salesman(String)
==> Parameters: Yu Xuelu(String), 45(Long), Female(String), 11510013(String), Eastern China(String), 13930284659(String), Salesman(String)
==> Parameters: Yu Kaiyu(String), 45(Long), Male(String), 11510826(String), Eastern China(String), 13982873533(String), Salesman(String)
==> Parameters: Yang Congde(String), 39(Long), Male(String), 12111621(String), Eastern China(String), 13990246914(String), Salesman(String)
==> Parameters: Qi Yishan(String), 39(Long), Male(String), 12110728(String), Eastern China(String), 18606430869(String), Salesman(String)
==> Parameters: Han Chenjia(String), 42(Long), Male(String), 11811626(String), Eastern China(String), 18937643936(String), Salesman(String)
==> Parameters: Lv Yinghui(String), 44(Long), Female(String), 11611816(String), Eastern China(String), 15671567687(String), Salesman(String)
==> Parameters: Zhou Yishuang(String), 48(Long), Female(String), 11212719(String), Eastern China(String), 15061565341(String), Salesman(String)
==> Parameters: Richard Roberts(String), 45(Long), Male(String), 11512522(String), Eastern China(String), 13950813597(String), Salesman(String)
==> Parameters: Hortensia Jackson(String), 45(Long), Female(String), 11511000(String), Eastern China(String), 15698891214(String), Salesman(String)
==> Parameters: Zhang Zhaoyu(String), 49(Long), Male(String), 11111311(String), Eastern China(String), 13998207774(String), Salesman(String)
==> Parameters: Olympia Thomas(String), 41(Long), Female(String), 11911627(String), Eastern China(String), 13912901670(String), Salesman(String)
==> Parameters: Jiang Yuqiao(String), 46(Long), Female(String), 11411917(String), Eastern China(String), 15045639100(String), Salesman(String)
==> Parameters: Maria Harris(String), 39(Long), Female(String), 12111107(String), Eastern China(String), 18671435981(String), Salesman(String)
==> Parameters: Yan Shumeng(String), 38(Long), Female(String), 12210614(String), Eastern China(String), 15660589740(String), Salesman(String)
==> Parameters: Wei Mufeng(String), 45(Long), Male(String), 11510105(String), Eastern China(String), 18698244030(String), Salesman(String)
==> Parameters: Xie Yishuang(String), 40(Long), Female(String), 12011728(String), Eastern China(String), 15681759413(String), Salesman(String)
==> Parameters: Wang Hanhui(String), 44(Long), Female(String), 11612220(String), Eastern China(String), 18653785415(String), Salesman(String)
==> Parameters: Betty Davies(String), 39(Long), Female(String), 12111828(String), Eastern China(String), 13950195338(String), Salesman(String)
==> Parameters: Frank Jackson(String), 47(Long), Male(String), 11310103(String), Eastern China(String), 13816321884(String), Salesman(String)
==> Parameters: He Hanwu(String), 39(Long), Male(String), 12112619(String), Eastern China(String), 13805699635(String), Salesman(String)
==> Parameters: Shui Mengbai(String), 49(Long), Female(String), 11111801(String), Eastern China(String), 18966070898(String), Salesman(String)
==> Parameters: Andrew Johnson(String), 44(Long), Male(String), 11610803(String), Eastern China(String), 13909231636(String), Salesman(String)
==> Parameters: Fran Thompson(String), 41(Long), Female(String), 11911112(String), Eastern China(String), 15600681584(String), Salesman(String)
==> Parameters: Toni Clarke(String), 47(Long), Female(String), 11310927(String), Eastern China(String), 15073675791(String), Salesman(String)
==> Parameters: Chu Linchuan(String), 47(Long), Male(String), 11311115(String), Eastern China(String), 15080256415(String), Salesman(String)
==> Parameters: Avis Roberts(String), 46(Long), Female(String), 11411901(String), Eastern China(String), 15005657290(String), Salesman(String)
==> Parameters: Lisa Smith(String), 48(Long), Female(String), 11211002(String), Eastern China(String), 18924197525(String), Salesman(String)
==> Parameters: He Yunshuo(String), 43(Long), Male(String), 11712016(String), Eastern China(String), 15676339540(String), Salesman(String)
==> Parameters: Joanne Jones(String), 45(Long), Female(String), 11511213(String), Eastern China(String), 18658136807(String), Salesman(String)
==> Parameters: Zheng Bochang(String), 38(Long), Male(String), 12211105(String), Eastern China(String), 13972571291(String), Salesman(String)
==> Parameters: Judith Edwards(String), 48(Long), Female(String), 11211527(String), Eastern China(String), 15025870700(String), Salesman(String)
==> Parameters: Flora Thomas(String), 46(Long), Female(String), 11411019(String), Eastern China(String), 13802785616(String), Salesman(String)
==> Parameters: Qian Yiyu(String), 41(Long), Female(String), 11912900(String), Eastern China(String), 15064462930(String), Salesman(String)
==> Parameters: Hilda Clarke(String), 43(Long), Female(String), 11711214(String), Eastern China(String), 15689457853(String), Salesman(String)
==> Parameters: Sun Hanxuan(String), 39(Long), Female(String), 12112329(String), Eastern China(String), 18644716340(String), Salesman(String)
==> Parameters: Julian Clarke(String), 42(Long), Male(String), 11810021(String), Eastern China(String), 13974711615(String), Salesman(String)
==> Parameters: Chen Nianer(String), 38(Long), Female(String), 12212709(String), Eastern China(String), 15697366927(String), Salesman(String)
==> Parameters: Liu Feilei(String), 45(Long), Female(String), 11511410(String), Eastern China(String), 15665437795(String), Salesman(String)
==> Parameters: Yan Linghai(String), 43(Long), Female(String), 11711129(String), Eastern China(String), 18667175067(String), Contracts Manager(String)
==> Parameters: Jing Chutai(String), 39(Long), Male(String), 12112707(String), Eastern China(String), 15670838760(String), Contracts Manager(String)
==> Parameters: Chen Yinghui(String), 38(Long), Female(String), 12210928(String), Eastern China(String), 13977262931(String), Contracts Manager(String)
==> Parameters: Xie Jiafu(String), 48(Long), Male(String), 11211902(String), Eastern China(String), 18680749663(String), Contracts Manager(String)
==> Parameters: Bertran Hughes(String), 39(Long), Male(String), 12112511(String), Eastern China(String), 15686864496(String), Contracts Manager(String)
